id,carat,cut,color,clarity,depth,table,x,y,z,price
4354,0.32,Very Good,I,SI1,63.5,57.0,4.33,4.3,2.74,6.292
4355,1.0,Ideal,G,SI1,62.7,56.0,6.36,6.39,4.0,8.463
4356,0.5,Premium,G,VS1,62.5,60.0,5.13,5.08,3.19,7.367
4357,0.53,Ideal,E,VVS2,62.0,58.0,5.16,5.2,3.21,7.71
4358,1.01,Fair,F,VS2,64.5,58.0,6.28,6.18,4.02,8.561
4359,0.38,Ideal,I,VVS2,63.4,53.0,4.61,4.63,2.93,6.696
4360,0.8,Very Good,E,SI2,62.6,59.0,5.84,5.91,3.68,8.029
4361,0.71,Premium,I,VVS1,62.0,58.0,5.7,5.65,3.52,7.852
4362,1.2,Premium,G,SI1,62.7,58.0,6.71,6.66,4.19,8.772
4363,0.82,Very Good,E,VS2,62.8,59.0,5.92,5.93,3.72,8.327
4364,1.5,Premium,F,VS2,61.3,58.0,7.36,7.31,4.5,9.511
4365,0.3,Premium,G,VVS1,61.8,59.0,4.28,4.33,2.66,6.671
4366,0.48,Ideal,G,SI2,62.0,54.0,5.04,5.06,3.13,6.735
4367,2.21,Premium,H,I1,62.2,58.0,8.31,8.27,5.16,8.785
4368,0.7,Ideal,F,SI1,60.6,56.0,5.72,5.79,3.49,7.844
4369,1.0,Ideal,D,SI1,60.2,57.0,6.54,6.48,3.92,8.489
4370,0.45,Good,H,VVS1,56.8,64.0,5.08,4.99,2.86,7.073
4371,0.31,Ideal,F,VS2,61.3,55.0,4.35,4.39,2.68,6.382
4372,0.7,Fair,H,SI1,65.2,58.0,5.49,5.55,3.6,7.625
4373,0.24,Good,E,VVS1,63.8,56.0,3.95,3.98,2.53,6.213
4374,0.72,Ideal,E,SI1,62.5,55.0,5.69,5.74,3.57,7.971
4375,1.5,Good,I,VS1,57.2,62.0,7.64,7.61,4.36,9.18
4376,0.53,Ideal,D,SI1,61.7,56.0,5.15,5.23,3.2,7.397
4377,0.33,Ideal,H,VVS2,60.9,57.0,4.48,4.52,2.74,6.501
4378,0.8,Ideal,D,SI2,61.5,58.0,5.97,6.0,3.68,8.062
4379,1.14,Very Good,J,VS1,60.0,60.0,6.76,6.81,4.07,8.456
4380,1.04,Very Good,D,VS1,62.3,59.0,6.39,6.48,4.01,9.011
4381,1.01,Premium,E,SI1,62.8,59.0,6.31,6.27,3.95,8.63
4382,1.02,Very Good,F,SI1,60.2,60.0,6.55,6.61,3.96,8.532
4383,0.5,Good,E,VS2,63.1,61.0,5.0,5.05,3.17,7.258
4384,0.58,Fair,D,SI2,65.1,58.0,5.25,5.22,3.41,7.053
4385,1.52,Premium,E,SI2,62.0,62.0,7.2,7.13,4.44,9.084
4386,1.0,Premium,H,SI1,62.1,56.0,6.48,6.38,3.99,8.474
4387,0.53,Ideal,I,VS2,60.3,60.0,5.25,5.22,3.16,7.154
4388,0.88,Ideal,D,SI2,62.2,56.0,6.12,6.16,3.82,8.285
4389,1.24,Ideal,G,VS1,61.5,56.0,6.92,6.97,4.27,9.086
4390,1.22,Ideal,I,VS1,61.9,55.7,6.81,6.84,4.23,8.775
4391,0.34,Ideal,J,VS1,61.9,55.0,4.5,4.54,2.8,6.023
4392,0.65,Premium,E,SI2,61.4,59.0,5.57,5.52,3.41,7.402
4393,0.3,Good,D,SI1,63.3,59.0,4.22,4.25,2.68,6.314
4394,1.52,Premium,E,VS1,60.1,59.0,7.49,7.45,4.49,9.692
4395,0.7,Good,D,SI2,58.2,63.0,5.78,5.83,3.38,7.857
4396,0.4,Ideal,J,VS2,62.3,55.0,4.72,4.75,2.95,6.394
4397,1.05,Premium,H,SI1,62.2,58.0,6.5,6.46,4.03,8.451
4398,0.4,Ideal,E,VVS1,61.3,56.0,4.75,4.78,2.92,7.483
4399,1.01,Very Good,F,SI2,60.8,63.0,6.38,6.32,3.86,8.298
4400,0.52,Ideal,I,VS1,61.5,56.0,5.19,5.16,3.18,7.213
4401,0.46,Ideal,H,VVS1,62.3,54.0,4.96,4.99,3.1,7.112
4402,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,5.996
4403,0.4,Ideal,D,VS2,61.3,56.0,4.79,4.74,2.92,6.957
4404,1.01,Very Good,G,VS2,63.4,55.0,6.35,6.4,4.04,8.765
4405,0.31,Ideal,D,SI1,62.5,53.0,4.34,4.37,2.72,6.279
4406,2.34,Very Good,H,I1,62.4,55.4,8.44,8.51,5.29,9.316
4407,0.44,Ideal,G,VVS1,61.6,56.0,4.9,4.88,3.01,7.165
4408,0.7,Premium,F,SI2,61.7,62.0,5.69,5.65,3.5,7.653
4409,0.71,Good,E,SI2,64.0,56.0,5.68,5.61,3.62,7.504
4410,1.09,Good,H,SI1,62.4,64.0,6.61,6.51,4.09,8.455
4411,1.74,Ideal,D,SI2,64.5,56.0,7.56,7.54,4.87,9.422
4412,0.4,Premium,H,VS1,62.7,59.0,4.71,4.63,2.93,6.844
4413,0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,7.272
4414,1.51,Good,H,SI2,63.1,60.0,7.23,7.28,4.58,8.952
4415,1.52,Ideal,I,VS2,61.3,56.0,7.44,7.41,4.55,9.135
4416,1.83,Premium,I,VS2,60.5,60.0,7.93,7.86,4.78,9.215
4417,0.32,Ideal,D,VVS1,61.5,57.0,4.43,4.45,2.73,6.973
4418,1.23,Ideal,G,VS1,62.1,57.0,6.87,6.79,4.24,9.13
4419,1.5,Good,J,SI1,64.0,56.0,7.21,7.16,4.6,8.685
4420,0.91,Ideal,E,SI1,61.9,55.0,6.18,6.22,3.84,8.439
4421,0.7,Premium,D,SI2,60.8,61.0,5.69,5.64,3.45,7.594
4422,0.91,Premium,D,SI1,61.5,59.0,6.25,6.18,3.82,8.334
4423,0.73,Ideal,F,VVS1,61.4,56.0,5.8,5.81,3.56,8.548
4424,1.01,Good,E,VVS2,63.3,58.0,6.31,6.39,4.02,9.077
4425,0.9,Ideal,D,SI1,62.6,55.0,6.1,6.16,3.84,8.48
4426,1.5,Ideal,F,VS2,61.9,56.0,7.33,7.31,4.53,9.654
4427,1.27,Ideal,E,VS1,61.8,57.0,6.94,6.98,4.3,9.379
4428,2.06,Ideal,H,SI2,61.5,56.0,8.23,8.18,5.04,9.403
4429,1.14,Premium,H,VS2,60.2,58.0,6.74,6.81,4.08,8.697
4430,0.7,Very Good,E,VS1,63.4,56.0,5.6,5.63,3.56,8.041
4431,0.41,Good,F,VS2,63.2,57.0,4.74,4.76,3.0,6.76
4432,0.44,Very Good,D,SI1,62.9,58.0,4.82,4.85,3.04,6.744
4433,1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,8.72
4434,0.5,Ideal,D,VVS2,61.9,55.1,5.07,5.1,3.15,7.878
4435,0.82,Very Good,G,SI2,62.5,56.0,5.99,6.04,3.76,7.97
4436,0.8,Premium,D,SI2,61.1,58.0,5.94,5.9,3.62,8.033
4437,0.34,Ideal,H,VS2,60.4,57.0,4.54,4.57,2.75,6.319
4438,0.84,Good,G,VS2,63.6,59.0,5.94,5.89,3.76,8.105
4439,0.35,Ideal,F,VS2,62.1,56.0,4.54,4.57,2.83,6.56
4440,0.72,Ideal,E,SI1,60.9,57.0,5.83,5.86,3.56,7.79
4441,1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,9.183
4442,1.23,Very Good,I,SI2,62.6,59.0,6.78,6.86,4.27,8.555
4443,0.4,Ideal,H,VVS2,62.4,57.0,4.69,4.73,2.94,6.777
4444,0.32,Ideal,G,IF,61.3,56.0,4.4,4.44,2.71,6.808
4445,0.8,Very Good,F,VS2,63.3,59.8,5.79,5.83,3.68,8.097
4446,1.09,Premium,G,VS2,61.7,58.0,6.6,6.53,4.05,8.78
4447,1.58,Very Good,E,SI1,62.9,59.0,7.38,7.43,4.66,9.461
4448,0.33,Premium,I,VS2,61.1,59.0,4.4,4.44,2.7,6.138
4449,1.01,Good,H,SI1,63.7,56.0,6.34,6.33,4.08,8.436
4450,0.31,Very Good,E,SI1,63.1,54.0,4.34,4.31,2.73,6.548
4451,0.5,Very Good,G,VVS1,59.6,63.0,5.11,5.16,3.06,7.543
4452,0.56,Ideal,E,VS1,62.3,57.0,5.3,5.26,3.29,7.491
4453,0.31,Premium,I,VS2,62.3,57.0,4.35,4.32,2.7,6.324
4454,1.0,Good,F,SI2,60.2,65.0,6.38,6.41,3.85,8.386
4455,0.28,Ideal,F,VS1,62.0,53.0,4.23,4.26,2.63,6.5
4456,0.54,Ideal,H,VS2,60.1,57.0,5.33,5.28,3.19,7.272
4457,1.0,Very Good,F,VS2,63.8,56.9,6.29,6.36,4.04,8.831
4458,0.5,Very Good,F,SI2,63.5,58.0,5.03,4.98,3.18,6.998
4459,0.7,Ideal,F,SI1,60.8,60.0,5.74,5.78,3.5,7.802
4460,0.5,Very Good,G,SI1,61.1,57.0,5.14,5.2,3.16,7.001
4461,0.41,Good,J,VS2,64.3,55.0,4.66,4.7,3.01,6.407
4462,0.7,Fair,D,SI2,71.6,55.0,5.47,5.28,3.85,7.436
4463,0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63,7.923
4464,0.9,Very Good,D,IF,62.4,54.0,6.17,6.21,3.86,9.125
4465,1.0,Premium,G,SI1,62.7,59.0,6.36,6.31,3.97,8.574
4466,0.42,Very Good,E,VS1,62.9,57.0,4.75,4.79,3.0,6.913
4467,0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,6.957
4468,0.41,Ideal,G,VS2,60.9,57.0,4.84,4.79,2.93,6.967
4469,0.5,Ideal,D,VS1,63.0,57.0,5.06,5.0,3.17,7.359
4470,1.2,Very Good,D,VS2,63.5,58.0,6.68,6.71,4.25,9.12
4471,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,6.706
4472,0.91,Ideal,I,VS2,62.2,56.0,6.22,6.18,3.86,8.23
4473,1.21,Very Good,F,VS2,61.6,58.0,6.79,6.88,4.21,9.048
4474,1.03,Very Good,J,SI2,58.0,60.0,6.64,6.67,3.86,8.224
4475,0.3,Very Good,D,SI2,63.3,57.0,4.3,4.26,2.71,6.353
4476,0.93,Ideal,H,SI1,61.6,54.0,6.29,6.33,3.89,8.29
4477,0.5,Ideal,J,VS1,61.4,58.0,5.14,5.09,3.15,7.034
4478,0.65,Ideal,D,VS2,62.7,57.0,5.56,5.5,3.47,7.78
4479,1.01,Premium,F,SI1,62.9,59.0,6.38,6.31,3.99,8.573
4480,0.5,Good,F,VS2,63.2,56.0,5.01,5.05,3.18,7.27
4481,1.5,Premium,E,VS1,62.5,58.0,7.28,7.21,4.53,9.691
4482,1.41,Fair,H,I1,64.7,58.0,7.05,7.0,4.55,8.33
4483,0.81,Ideal,F,SI2,62.3,54.0,5.94,5.98,3.72,8.024
4484,1.51,Good,I,SI1,63.8,57.0,7.21,7.18,4.59,8.707
4485,1.01,Fair,G,SI1,66.9,56.0,6.15,6.22,4.14,8.319
4486,0.9,Premium,G,VS2,60.6,61.0,6.19,6.13,3.73,8.314
4487,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,6.583
4488,0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,7.236
4489,0.54,Premium,F,SI1,59.7,59.0,5.36,5.3,3.18,7.222
4490,1.82,Very Good,I,SI2,62.3,60.0,7.71,7.76,4.82,9.278
4491,1.0,Ideal,G,VS2,62.1,57.0,6.42,6.37,3.97,8.797
4492,1.15,Ideal,I,SI1,61.9,56.0,6.68,6.72,4.15,8.748
4493,0.29,Ideal,E,VVS2,62.0,55.0,4.25,4.27,2.64,6.506
4494,0.59,Ideal,I,VS1,62.2,57.0,5.33,5.38,3.33,7.274
4495,2.51,Premium,H,SI2,59.3,61.0,8.81,8.77,5.21,9.585
4496,1.12,Premium,H,SI2,61.0,59.0,6.72,6.66,4.08,8.313
4497,1.39,Ideal,J,VS2,60.9,57.0,7.2,7.25,4.4,8.829
4498,0.33,Premium,G,VS1,60.3,58.0,4.5,4.52,2.72,6.431
4499,0.32,Ideal,G,VVS2,62.4,56.0,4.4,4.42,2.75,6.593
4500,0.73,Ideal,G,VVS2,61.9,55.0,5.83,5.77,3.59,7.979
4501,0.3,Ideal,G,VS2,61.7,56.0,4.31,4.35,2.67,6.265
4502,1.02,Ideal,D,VS1,62.6,57.0,6.4,6.44,4.02,9.03
4503,0.42,Premium,G,VS1,62.5,59.0,4.79,4.72,2.97,6.892
4504,1.01,Fair,E,SI1,56.8,61.0,6.59,6.62,3.75,8.554
4505,0.58,Very Good,E,VS2,61.9,58.0,5.31,5.36,3.3,7.412
4506,0.61,Premium,D,SI1,61.6,58.0,5.37,5.34,3.3,7.386
4507,1.21,Premium,E,SI2,61.9,60.0,6.78,6.73,4.18,8.711
4508,0.57,Ideal,D,VS1,61.6,55.0,5.33,5.39,3.3,7.622
4509,0.3,Ideal,G,VVS1,61.4,58.0,4.31,4.35,2.66,6.639
4510,0.5,Very Good,D,SI2,58.9,60.0,5.2,5.23,3.07,7.024
4511,0.95,Good,G,VVS2,57.7,59.7,6.5,6.58,3.77,8.669
4512,0.57,Good,D,VS2,58.3,61.0,5.42,5.45,3.17,7.608
4513,0.31,Premium,E,VS1,60.5,59.0,4.36,4.37,2.64,6.599
4514,1.24,Premium,H,VS1,62.2,59.0,6.9,6.83,4.27,8.885
4515,0.53,Very Good,F,VS2,63.4,56.0,5.16,5.13,3.26,7.4
4516,0.52,Very Good,F,VVS1,62.0,57.0,5.11,5.15,3.18,7.747
4517,1.71,Very Good,H,VS2,62.6,59.0,7.54,7.58,4.73,9.506
4518,0.3,Very Good,H,VS1,63.4,53.0,4.3,4.25,2.71,6.515
4519,0.7,Ideal,E,VS2,62.7,56.0,5.73,5.63,3.56,7.9
4520,0.3,Ideal,D,VVS2,59.5,56.0,4.38,4.42,2.62,6.608
4521,1.13,Premium,E,SI2,61.4,59.0,6.78,6.7,4.14,8.504
4522,0.97,Very Good,I,VS2,62.2,55.9,6.34,6.29,3.94,8.299
4523,0.54,Very Good,G,VVS2,61.8,57.0,5.22,5.26,3.24,7.468
4524,0.3,Premium,I,VS1,61.6,60.0,4.3,4.27,2.64,6.41
4525,0.33,Ideal,G,VVS1,60.8,56.0,4.46,4.42,2.7,7.016
4526,1.24,Premium,D,SI1,62.4,59.0,6.86,6.82,4.27,8.921
4527,0.41,Very Good,E,SI2,59.5,62.0,4.8,4.84,2.87,6.458
4528,0.42,Ideal,G,VS1,62.0,55.0,4.83,4.78,2.98,6.892
4529,0.36,Ideal,G,SI1,62.7,55.0,4.59,4.54,2.86,6.535
4530,1.21,Premium,H,VS2,59.3,60.0,6.99,6.93,4.13,8.85
4531,1.02,Ideal,F,IF,62.0,58.0,6.44,6.49,4.01,9.316
4532,2.0,Very Good,G,SI1,62.5,58.0,7.98,8.04,5.01,9.808
4533,0.71,Ideal,E,VS1,60.4,56.0,5.8,5.85,3.52,8.083
4534,1.03,Very Good,H,SI2,62.3,57.0,6.43,6.48,4.02,8.359
4535,0.73,Premium,F,VS2,58.9,60.0,5.9,5.81,3.45,7.802
4536,0.41,Ideal,D,VVS2,61.1,56.0,4.81,4.78,2.93,7.074
4537,1.19,Premium,H,SI1,62.7,61.0,6.73,6.66,4.2,8.648
4538,1.2,Premium,J,SI1,61.4,59.0,6.87,6.82,4.2,8.484
4539,0.3,Premium,J,VS2,60.6,59.0,4.38,4.34,2.64,6.159
4540,1.11,Ideal,D,VS2,62.0,57.0,6.62,6.67,4.12,8.936
4541,1.02,Ideal,D,SI2,62.5,57.0,6.43,6.38,4.0,8.305
4542,0.32,Ideal,G,IF,60.9,56.0,4.41,4.43,2.69,6.861
4543,0.33,Ideal,D,VS2,61.9,56.0,4.44,4.42,2.74,6.91
4544,1.15,Very Good,H,SI2,62.0,58.0,6.66,6.7,4.14,8.464
4545,0.4,Very Good,E,SI1,63.0,57.0,4.68,4.71,2.96,6.586
4546,0.38,Ideal,E,VS2,61.5,55.0,4.67,4.7,2.88,6.701
4547,0.46,Ideal,I,VS1,62.3,56.0,4.96,4.93,3.08,6.881
4548,1.7,Premium,G,SI2,61.9,58.0,7.61,7.57,4.7,9.256
4549,0.71,Very Good,G,SI1,62.9,56.0,5.68,5.73,3.59,7.689
4550,0.41,Ideal,E,VVS1,61.9,55.0,4.78,4.79,2.96,7.22
4551,1.5,Premium,I,SI2,62.2,62.0,7.27,7.2,4.5,8.891
4552,1.02,Very Good,D,SI2,60.3,58.0,6.48,6.52,3.92,8.441
4553,0.43,Ideal,D,SI1,61.5,56.0,4.82,4.87,2.98,6.721
4554,1.51,Fair,D,SI2,66.2,54.0,7.19,7.08,4.72,8.794
4555,1.02,Very Good,E,VS2,59.2,58.0,6.52,6.58,3.88,8.797
4556,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9.264
4557,0.71,Ideal,E,VS2,62.0,56.0,5.72,5.75,3.55,8.103
4558,1.0,Ideal,G,SI1,61.9,56.0,6.37,6.45,3.97,8.517
4559,1.01,Very Good,F,SI1,63.3,59.0,6.42,6.38,4.05,8.515
4560,0.41,Premium,E,SI1,61.3,58.0,4.8,4.76,2.93,6.876
4561,0.55,Ideal,E,VS1,61.6,55.0,5.33,5.28,3.27,7.57
4562,1.5,Premium,F,SI2,62.4,58.0,7.31,7.24,4.54,8.862
4563,0.58,Ideal,J,SI1,61.5,55.0,5.36,5.4,3.31,6.993
4564,0.32,Good,H,VS1,63.1,57.0,4.34,4.37,2.75,6.33
4565,0.51,Very Good,J,VS2,63.1,56.0,5.13,5.1,3.23,6.985
4566,1.51,Good,D,SI2,64.1,61.0,7.14,7.18,4.59,9.054
4567,0.98,Very Good,G,SI2,62.2,57.0,6.33,6.37,3.95,8.421
4568,1.02,Ideal,D,VS1,62.7,55.0,6.49,6.4,4.04,8.87
4569,0.53,Ideal,H,VS1,61.2,56.0,5.23,5.26,3.21,7.378
4570,0.71,Ideal,F,VS1,61.3,56.0,5.69,5.75,3.51,8.219
4571,1.07,Very Good,G,VS2,60.9,58.0,6.56,6.6,4.01,8.757
4572,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,8.513
4573,0.31,Ideal,E,VS2,61.0,54.0,4.41,4.37,2.68,6.771
4574,0.5,Good,F,SI2,57.7,62.0,5.22,5.18,3.0,6.831
4575,0.77,Ideal,E,VVS1,61.6,55.0,5.87,5.95,3.64,8.566
4576,0.71,Ideal,I,VVS2,62.2,54.0,5.7,5.75,3.56,7.778
4577,1.06,Ideal,G,VS2,61.1,57.0,6.59,6.56,4.02,8.805
4578,1.0,Very Good,E,VVS2,63.0,58.0,6.33,6.36,4.0,9.13
4579,0.61,Very Good,D,SI1,62.4,59.0,5.42,5.45,3.39,7.391
4580,0.5,Ideal,D,SI2,61.6,57.0,5.13,5.1,3.15,7.194
4581,0.32,Premium,H,VS2,61.7,59.0,4.4,4.35,2.7,6.474
4582,1.5,Premium,E,VS2,62.3,60.0,7.27,7.2,4.51,9.56
4583,0.61,Very Good,D,SI1,58.5,58.0,5.54,5.64,3.27,7.511
4584,0.39,Ideal,G,VS2,60.7,54.0,4.74,4.77,2.89,6.613
4585,0.32,Ideal,F,VVS1,61.8,55.0,4.36,4.41,2.71,6.831
4586,0.54,Ideal,F,SI1,60.5,57.0,5.25,5.27,3.18,7.233
4587,1.07,Premium,E,SI2,59.7,58.0,6.66,6.68,3.98,8.506
4588,0.32,Premium,H,IF,61.2,58.0,4.39,4.37,2.68,6.985
4589,0.56,Ideal,F,VS1,61.7,55.1,5.29,5.33,3.27,7.591
4590,1.08,Premium,G,SI2,59.8,57.0,6.72,6.66,4.0,8.371
4591,0.76,Premium,E,SI2,62.4,58.0,5.83,5.86,3.65,7.804
4592,0.53,Premium,H,SI2,62.5,60.0,5.18,5.16,3.23,7.015
4593,0.3,Ideal,D,VS2,60.9,57.0,4.34,4.36,2.65,6.753
4594,0.43,Premium,E,SI2,61.0,60.0,4.87,4.94,2.99,6.557
4595,0.54,Ideal,E,SI2,60.7,56.0,5.25,5.3,3.2,7.128
4596,0.3,Ideal,E,VS1,62.5,56.0,4.3,4.28,2.68,6.657
4597,0.32,Very Good,H,VS1,63.0,55.0,4.4,4.42,2.78,6.33
4598,0.42,Very Good,E,VVS2,59.4,60.0,4.88,4.91,2.91,7.14
4599,0.5,Premium,G,SI2,62.4,61.0,5.02,4.98,3.12,6.76
4600,0.31,Premium,I,VS2,62.3,60.0,4.31,4.32,2.69,6.075
4601,0.72,Ideal,H,SI1,62.3,54.0,5.78,5.75,3.59,7.764
4602,0.34,Very Good,H,VS2,62.4,60.0,4.41,4.44,2.76,6.286
4603,0.78,Ideal,I,VS1,61.5,57.0,5.88,5.92,3.63,7.956
4604,0.3,Ideal,H,VVS2,61.3,57.0,4.31,4.33,2.65,6.405
4605,1.12,Ideal,G,VS1,62.3,57.0,6.59,6.64,4.12,8.842
4606,1.0,Premium,F,VS2,58.7,62.0,6.6,6.51,3.85,8.706
4607,0.54,Premium,F,VS2,61.8,58.0,5.22,5.29,3.25,7.416
4608,0.24,Very Good,E,VVS1,63.4,57.0,3.91,3.95,2.49,6.17
4609,0.32,Very Good,J,VS2,60.0,61.0,4.45,4.49,2.68,5.974
4610,1.71,Good,H,VS2,63.7,58.0,7.57,7.54,4.81,9.478
4611,0.73,Very Good,E,SI1,60.2,60.0,5.81,5.86,3.51,7.849
4612,0.7,Fair,D,SI1,64.9,64.0,5.57,5.5,3.59,7.763
4613,2.37,Ideal,J,SI1,61.9,55.0,8.53,8.56,5.29,9.826
4614,0.31,Ideal,E,VS2,60.8,54.0,4.39,4.4,2.67,6.522
4615,0.51,Fair,H,VS1,55.5,64.0,5.44,5.4,3.01,7.118
4616,0.41,Premium,E,VVS1,62.2,58.0,4.75,4.77,2.96,7.22
4617,2.1,Premium,J,VS2,58.3,54.0,8.49,8.45,4.94,9.426
4618,0.72,Ideal,E,SI1,61.2,56.0,5.79,5.75,3.53,7.888
4619,0.71,Very Good,H,VS2,61.8,58.0,5.66,5.7,3.51,7.77
4620,1.33,Premium,H,VS2,62.6,58.0,7.07,7.01,4.41,8.98
4621,0.36,Premium,H,SI1,59.3,60.0,4.65,4.62,2.75,6.5
4622,0.52,Ideal,G,SI1,61.1,55.0,5.22,5.26,3.2,7.088
4623,0.7,Good,E,SI2,61.0,64.0,5.63,5.69,3.45,7.657
4624,2.02,Very Good,G,SI2,63.1,56.0,8.06,8.02,5.07,9.671
4625,0.32,Ideal,G,VVS1,61.8,56.0,4.41,4.39,2.72,6.916
4626,0.76,Ideal,E,SI2,61.5,57.0,5.83,5.87,3.6,7.894
4627,0.9,Very Good,F,VVS2,61.0,63.0,6.13,6.09,3.73,8.613
4628,1.01,Very Good,G,SI1,62.9,58.0,6.35,6.4,4.01,8.612
4629,1.02,Ideal,G,SI2,62.4,54.0,6.39,6.47,4.02,8.412
4630,1.0,Very Good,E,SI1,63.3,56.0,6.31,6.39,4.02,8.522
4631,1.21,Very Good,H,VS2,62.9,57.0,6.75,6.8,4.26,8.731
4632,0.36,Premium,H,VS2,60.9,59.0,4.58,4.62,2.8,6.342
4633,0.32,Premium,H,SI1,62.0,58.0,4.38,4.39,2.72,6.133
4634,1.63,Ideal,F,SI1,61.5,56.0,7.55,7.58,4.66,9.5
4635,0.32,Ideal,E,VS2,61.8,55.0,4.4,4.43,2.73,6.554
4636,1.22,Premium,G,VVS2,62.0,58.0,6.9,6.85,4.26,9.221
4637,0.75,Very Good,D,SI1,63.9,56.0,5.73,5.75,3.67,8.034
4638,1.51,Ideal,F,SI2,62.6,55.0,7.39,7.35,4.61,9.156
4639,0.94,Very Good,E,SI2,62.0,60.0,6.19,6.22,3.85,8.285
4640,1.07,Very Good,H,VS2,61.5,57.0,6.57,6.63,4.06,8.567
4641,0.9,Good,G,SI2,63.8,59.0,6.02,6.05,3.85,8.103
4642,0.31,Very Good,E,VVS2,61.4,60.0,4.34,4.36,2.67,6.704
4643,0.55,Very Good,E,SI1,58.5,65.0,5.33,5.38,3.13,7.37
4644,1.5,Ideal,G,VS2,62.5,55.0,7.26,7.23,4.53,9.456
4645,1.27,Premium,J,SI2,60.4,58.0,7.04,7.0,4.24,8.447
4646,0.55,Very Good,D,VS2,60.4,59.0,5.29,5.34,3.21,7.47
4647,0.78,Ideal,E,SI1,60.4,57.0,5.95,6.0,3.61,8.208
4648,0.52,Very Good,E,SI1,62.9,59.0,5.12,5.15,3.23,7.236
4649,0.7,Ideal,G,SI1,62.4,56.0,5.66,5.69,3.54,7.815
4650,0.31,Very Good,F,SI1,63.1,55.0,4.34,4.28,2.72,6.497
4651,0.3,Ideal,G,VS2,61.3,56.0,4.28,4.3,2.63,6.265
4652,1.0,Very Good,F,SI1,59.4,60.0,6.47,6.52,3.86,8.509
4653,0.3,Premium,E,VS2,61.7,58.0,4.32,4.34,2.67,6.489
4654,0.5,Premium,G,VVS2,62.2,61.0,5.09,5.07,3.16,7.499
4655,1.17,Ideal,H,SI2,62.4,53.0,6.74,6.76,4.21,8.598
4656,1.35,Fair,I,VS2,61.6,62.0,7.15,7.1,4.39,8.879
4657,0.41,Premium,F,VVS1,61.3,59.0,4.73,4.79,2.92,7.166
4658,1.01,Very Good,H,SI1,63.5,57.0,6.31,6.35,4.02,8.447
4659,0.32,Ideal,D,VS2,62.2,56.0,4.36,4.39,2.72,6.631
4660,1.01,Good,D,SI2,64.5,58.0,6.18,6.26,4.01,8.435
4661,1.21,Very Good,I,SI1,62.1,56.0,6.76,6.92,4.25,8.58
4662,1.01,Very Good,F,SI1,61.9,58.0,6.41,6.44,3.98,8.591
4663,1.01,Very Good,G,SI2,62.1,61.0,6.27,6.38,3.93,8.286
4664,0.27,Ideal,E,VS1,61.4,57.0,4.17,4.23,2.58,6.557
4665,0.3,Very Good,D,SI1,61.0,60.0,4.3,4.35,2.64,6.314
4666,0.41,Very Good,D,SI1,63.2,58.0,4.77,4.72,3.0,6.853
4667,1.5,Good,J,SI1,59.1,64.0,7.32,7.43,4.36,8.808
4668,0.71,Premium,G,VVS1,62.7,58.0,5.71,5.67,3.57,7.899
4669,0.32,Ideal,G,VS2,61.6,57.0,4.39,4.41,2.71,6.33
4670,0.55,Ideal,H,SI1,60.8,56.0,5.3,5.33,3.23,7.368
4671,0.72,Ideal,F,SI2,61.6,57.0,5.75,5.68,3.52,7.637
4672,0.85,Ideal,J,VS2,61.7,55.0,6.08,6.11,3.76,7.801
4673,1.31,Ideal,I,VS1,62.1,56.0,7.01,7.04,4.36,8.797
4674,0.52,Ideal,D,VVS2,62.0,56.0,5.14,5.18,3.2,7.794
4675,0.31,Very Good,G,SI1,63.2,54.0,4.33,4.31,2.73,6.385
4676,0.34,Premium,G,VS2,61.8,58.0,4.47,4.5,2.77,6.39
4677,1.41,Premium,J,VS2,62.7,56.0,7.2,7.16,4.5,8.818
4678,0.35,Premium,D,VS2,59.7,58.0,4.61,4.57,2.74,6.969
4679,1.7,Premium,G,SI1,62.5,61.0,7.54,7.47,4.69,9.528
4680,1.59,Very Good,I,SI2,61.9,58.0,7.46,7.5,4.63,8.902
4681,0.71,Ideal,I,VS1,61.9,55.0,5.75,5.71,3.55,7.877
4682,0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32,7.924
4683,0.72,Good,G,VS2,63.4,53.0,5.72,5.79,3.64,7.745
4684,2.25,Very Good,J,SI2,58.4,63.0,8.6,8.65,5.04,9.518
4685,0.39,Ideal,F,VS2,62.1,53.0,4.73,4.77,2.95,6.719
4686,0.71,Ideal,H,VS2,61.7,55.0,5.73,5.77,3.55,7.847
4687,0.31,Premium,F,SI1,62.7,58.0,4.31,4.33,2.71,6.246
4688,1.01,Good,G,SI2,64.0,59.0,6.34,6.31,4.05,8.149
